Category,Color,Discount,Frequency of Purchases,Gender,Item,Location,Payment Method,Season,Shipping Type,Size,Subscription Status,Age,Customer,Previous Purchases,Review Rating,Sales (USD)
Footwear,Green,No,Weekly,Female,Sandals,Kansas,Cash,Spring,Store Pickup,M,No,26,3707,4,4,42
Footwear,Blue,No,Fortnightly,Female,Boots,Indiana,Cash,Summer,Store Pickup,M,No,25,2974,2,2.7,59.54
Footwear,Magenta,No,Monthly,Female,Sneakers,Michigan,Cash,Summer,Store Pickup,M,No,70,3247,0,2.9,335.53
Footwear,Gray,No,Weekly,Female,Sandals,Georgia,Cash,Summer,Store Pickup,M,No,22,3095,2,2.7,48.29
Footwear,Black,No,Quarterly,Female,Sandals,Indiana,Cash,Spring,Store Pickup,S,No,36,3759,3,2.7,40.72
Footwear,Blue,No,Weekly,Female,Sandals,North Carolina,Cash,Spring,Store Pickup,S,No,43,3472,1,3.1,61.33
Footwear,Beige,No,Fortnightly,Female,Sneakers,Minnesota,Cash,Spring,Store Pickup,XL,No,24,3227,0,3.3,73.12
Outerwear,Pink,No,Fortnightly,Female,Coat,Connecticut,Cash,Fall,Store Pickup,L,No,25,3722,1,4,49.87
Outerwear,Peach,No,Monthly,Female,Jacket,North Dakota,Cash,Fall,Store Pickup,M,No,34,3132,9,2.9,48.27
Outerwear,Lavender,No,Monthly,Female,Jacket,Hawaii,Cash,Spring,Store Pickup,M,No,49,3166,0,3,183.07
Outerwear,Violet,No,Weekly,Female,Coat,Idaho,Cash,Summer,Store Pickup,M,No,28,3680,4,2.5,170.97
Outerwear,Red,No,Fortnightly,Female,Jacket,Oklahoma,Cash,Winter,Store Pickup,M,No,55,2797,3,3.8,78.89
Accessories,Green,No,Fortnightly,Female,Scarf,Wisconsin,Card,Fall,Courier,L,Yes,28,3203,0,4.5,21.54
Accessories,Green,No,Fortnightly,Female,Sunglasses,Georgia,Card,Fall,Courier,L,Yes,50,3183,3,3.6,287.03
Accessories,Olive,No,Monthly,Female,Scarf,Arizona,Card,Fall,Courier,L,Yes,34,3580,4,4.8,61.23
Accessories,Turquoise,No,Weekly,Female,Handbag,Montana,Card,Fall,Courier,L,Yes,18,3181,0,3.8,143.84
Accessories,Peach,No,Fortnightly,Female,Jewelry,Nebraska,Card,Spring,Courier,L,Yes,19,2948,0,4.4,55.15
Accessories,White,No,Fortnightly,Female,Scarf,Kentucky,Card,Spring,Courier,L,Yes,70,3285,3,4.5,97.94
Accessories,Peach,No,Monthly,Female,Handbag,Minnesota,Card,Spring,Courier,L,Yes,55,3537,9,4.5,9.6
Accessories,Black,No,Quarterly,Female,Backpack,Alaska,Card,Spring,Courier,L,Yes,28,2933,2,3.9,144.43
Accessories,Gray,No,Fortnightly,Female,Scarf,Maine,Card,Summer,Courier,L,Yes,38,3529,1,4.5,63.4
Accessories,Lavender,No,Monthly,Female,Backpack,South Dakota,Card,Summer,Courier,L,Yes,26,2846,0,4.1,91.03
Accessories,Gold,No,Monthly,Female,Sunglasses,Wyoming,Card,Summer,Courier,L,Yes,24,3052,0,4.6,57.23
Accessories,Indigo,No,Monthly,Female,Jewelry,Mississippi,Card,Summer,Courier,L,Yes,27,3827,2,4.4,81.33
Accessories,Maroon,No,Quarterly,Female,Handbag,Texas,Card,Summer,Courier,L,Yes,38,2960,2,4.7,14.17
Accessories,Pink,No,Quarterly,Female,Handbag,Illinois,Card,Summer,Courier,L,Yes,25,3672,3,4.8,61.18
Accessories,Magenta,No,Quarterly,Female,Backpack,Alaska,Card,Summer,Courier,L,Yes,30,3559,8,4.8,206.99
Accessories,Teal,No,Fortnightly,Female,Gloves,Virginia,Card,Winter,Courier,L,Yes,34,3194,0,4,435.42
Accessories,Black,No,Fortnightly,Female,Sunglasses,New York,Card,Winter,Courier,L,Yes,43,2906,6,4.8,39.43
Accessories,Teal,No,Monthly,Female,Sunglasses,Wisconsin,Card,Winter,Courier,L,Yes,60,3257,0,4.7,12.8
Accessories,Turquoise,No,Quarterly,Female,Hat,Minnesota,Card,Winter,Courier,L,Yes,24,3382,2,4.7,61.35
Accessories,Green,No,Weekly,Female,Scarf,Illinois,Card,Winter,Courier,L,Yes,24,3626,1,4.4,413.16
Accessories,Magenta,No,Fortnightly,Female,Hat,Florida,Card,Fall,Courier,M,Yes,22,3446,2,4.9,46.59
Accessories,Lavender,No,Fortnightly,Female,Sunglasses,Nevada,Card,Fall,Courier,M,Yes,39,3401,4,4.8,36.52
Accessories,Violet,No,Monthly,Female,Belt,West Virginia,Card,Fall,Courier,M,Yes,31,3298,0,4.1,111.02
Accessories,Purple,No,Quarterly,Female,Hat,Utah,Card,Fall,Courier,M,Yes,39,2825,0,4,161.05
Accessories,Magenta,No,Weekly,Female,Jewelry,Alabama,Card,Fall,Courier,M,Yes,36,2932,0,4.5,16.45
Accessories,Peach,No,Weekly,Female,Hat,Mississippi,Card,Fall,Courier,M,Yes,28,3853,4,4,97.46
Accessories,Maroon,No,Fortnightly,Female,Jewelry,Nevada,Card,Spring,Courier,M,Yes,33,3647,0,5,65.69
Accessories,Yellow,No,Fortnightly,Female,Jewelry,Connecticut,Card,Spring,Courier,M,Yes,37,3229,2,4.6,230
Accessories,Olive,No,Monthly,Female,Sunglasses,Louisiana,Card,Spring,Courier,M,Yes,66,2695,1,4.9,13.5
Accessories,Olive,No,Weekly,Female,Backpack,Kansas,Card,Spring,Courier,M,Yes,40,3639,0,4.6,9.01
Accessories,Magenta,No,Fortnightly,Female,Backpack,North Carolina,Card,Summer,Courier,M,Yes,31,2734,0,4.7,116.52
Accessories,Olive,No,Fortnightly,Female,Jewelry,Colorado,Card,Summer,Courier,M,Yes,33,3049,0,3.9,193.88
Accessories,Magenta,No,Fortnightly,Female,Gloves,North Dakota,Card,Summer,Courier,M,Yes,33,3327,1,4.3,229.27
Accessories,Pink,No,Fortnightly,Female,Scarf,Montana,Card,Summer,Courier,M,Yes,50,3852,2,3.9,115.32
Accessories,Violet,No,Fortnightly,Female,Scarf,Wisconsin,Card,Summer,Courier,M,Yes,39,3261,6,4.5,20.56
Accessories,Teal,No,Fortnightly,Female,Gloves,Arkansas,Card,Summer,Courier,M,Yes,28,3248,8,3.7,171.84
Accessories,Charcoal,No,Monthly,Female,Belt,Delaware,Card,Summer,Courier,M,Yes,32,2946,0,4.8,34.13
Accessories,Blue,No,Monthly,Female,Jewelry,Mississippi,Card,Summer,Courier,M,Yes,33,3272,3,3.9,105.87
Accessories,Magenta,No,Quarterly,Female,Scarf,Maryland,Card,Summer,Courier,M,Yes,29,2833,0,4.6,21.59
Accessories,Gray,No,Quarterly,Female,Gloves,Idaho,Card,Summer,Courier,M,Yes,43,3440,2,4.5,192.71
Accessories,Green,No,Weekly,Female,Backpack,Florida,Card,Summer,Courier,M,Yes,28,3664,0,4.4,48.15
Accessories,Turquoise,No,Weekly,Female,Handbag,Florida,Card,Summer,Courier,M,Yes,28,3346,2,4,171.49
Accessories,Lavender,No,Fortnightly,Female,Belt,North Carolina,Card,Winter,Courier,M,Yes,18,3150,2,4.6,24.34
Accessories,White,No,Fortnightly,Female,Sunglasses,Alabama,Card,Winter,Courier,M,Yes,40,3266,2,3.2,605.49
Accessories,Silver,No,Fortnightly,Female,Belt,Louisiana,Card,Winter,Courier,M,Yes,25,3010,7,4.6,78.7
Accessories,Blue,No,Monthly,Female,Jewelry,North Dakota,Card,Winter,Courier,M,Yes,33,2871,0,4.8,18.96
Accessories,Gray,No,Monthly,Female,Jewelry,Mississippi,Card,Winter,Courier,M,Yes,30,3159,0,4.9,90.84
Accessories,Orange,No,Monthly,Female,Handbag,Rhode Island,Card,Winter,Courier,M,Yes,48,3042,2,4,98.11
Accessories,Blue,No,Monthly,Female,Hat,Colorado,Card,Winter,Courier,M,Yes,43,3544,4,4.1,115.77
Accessories,Purple,No,Quarterly,Female,Belt,New Hampshire,Card,Winter,Courier,M,Yes,34,3821,1,5,59.18
Accessories,Silver,No,Monthly,Female,Jewelry,Alabama,Card,Fall,Courier,S,Yes,36,3752,7,4.2,282.38
Accessories,Beige,No,Quarterly,Female,Belt,New Jersey,Card,Fall,Courier,S,Yes,36,2744,4,4.1,209.53
Accessories,Teal,No,Monthly,Female,Jewelry,Wisconsin,Card,Spring,Courier,S,Yes,19,3677,5,4.9,206.44
Accessories,Brown,No,Quarterly,Female,Jewelry,Iowa,Card,Summer,Courier,S,Yes,37,3887,0,3.9,181.85
Accessories,Cyan,No,Fortnightly,Female,Gloves,Alaska,Card,Winter,Courier,S,Yes,24,3775,0,3.9,115.39
Accessories,Maroon,No,Weekly,Female,Jewelry,Kentucky,Card,Winter,Courier,S,Yes,19,3738,0,4.9,10.78
Accessories,Magenta,No,Weekly,Female,Scarf,North Carolina,Card,Winter,Courier,S,Yes,24,3620,0,4.9,84.3
Accessories,Peach,No,Weekly,Female,Sunglasses,Mississippi,Card,Winter,Courier,S,Yes,36,3142,0,4.9,15.66
Accessories,Indigo,No,Monthly,Female,Hat,Oklahoma,Card,Fall,Courier,XL,Yes,24,3260,4,3.7,229.64
Accessories,Purple,No,Fortnightly,Female,Handbag,Texas,Card,Spring,Courier,XL,Yes,24,3146,5,4.6,14.89
Accessories,Indigo,No,Quarterly,Female,Belt,Kansas,Card,Spring,Courier,XL,Yes,21,3112,2,4.9,106.12
Accessories,Brown,No,Weekly,Female,Sunglasses,Texas,Card,Spring,Courier,XL,Yes,33,2921,2,4.9,75.83
Accessories,Blue,No,Weekly,Female,Scarf,New Jersey,Card,Winter,Courier,XL,Yes,28,3393,5,4.4,81.52
Clothing,Gold,No,Fortnightly,Female,Skirt,Ohio,Card,Fall,Courier,L,Yes,19,3186,5,4.7,73.19
Clothing,Indigo,No,Fortnightly,Female,Pants,Connecticut,Card,Fall,Courier,L,Yes,36,3533,8,4.6,65.72
Clothing,Yellow,No,Monthly,Female,Dress,Maine,Card,Fall,Courier,L,Yes,30,2742,0,4.9,106.37
Clothing,Lavender,No,Monthly,Female,Blouse,Wisconsin,Card,Fall,Courier,L,Yes,31,2654,2,4.8,20.6
Clothing,Maroon,No,Monthly,Female,Jeans,Connecticut,Card,Fall,Courier,L,Yes,43,3574,2,4.9,63.37
Clothing,Olive,No,Monthly,Female,T-shirt,South Dakota,Card,Fall,Courier,L,Yes,33,3062,3,4.5,48.33
Clothing,Teal,No,Monthly,Female,Dress,Ohio,Card,Fall,Courier,L,Yes,31,3354,4,4.6,61.38
Clothing,Teal,No,Quarterly,Female,Blouse,Mississippi,Card,Fall,Courier,L,Yes,33,3627,1,3.5,330.26
Clothing,Orange,No,Weekly,Female,Sweater,North Carolina,Card,Fall,Courier,L,Yes,28,2790,2,5,127.04
Clothing,Gray,No,Weekly,Female,Dress,Illinois,Card,Fall,Courier,L,Yes,24,3485,6,4.2,84.34
Clothing,Yellow,No,Fortnightly,Female,Pants,South Carolina,Card,Spring,Courier,L,Yes,24,2661,0,4.9,127.13
Clothing,Olive,No,Monthly,Female,Jeans,Michigan,Card,Spring,Courier,L,Yes,24,3463,1,4.5,78.48
Clothing,Black,No,Monthly,Female,Socks,Missouri,Card,Spring,Courier,L,Yes,31,3201,1,4.8,11.45
Clothing,Green,No,Quarterly,Female,Hoodie,Wisconsin,Card,Spring,Courier,L,Yes,70,2889,2,5,26.42
Clothing,Magenta,No,Quarterly,Female,Jeans,Delaware,Card,Spring,Courier,L,Yes,25,3070,4,4.6,78.67
Clothing,Charcoal,No,Weekly,Female,Skirt,Pennsylvania,Card,Spring,Courier,L,Yes,29,3685,0,4.4,132.52
Clothing,Teal,No,Weekly,Female,Skirt,South Carolina,Card,Spring,Courier,L,Yes,64,3757,0,4.8,68.34
Clothing,Lavender,No,Fortnightly,Female,T-shirt,Kansas,Card,Summer,Courier,L,Yes,19,3630,0,4.5,27.37
Clothing,Purple,No,Monthly,Female,Blouse,Georgia,Card,Summer,Courier,L,Yes,28,3629,0,3.8,143.26
Clothing,Teal,No,Monthly,Female,Blouse,Idaho,Card,Summer,Courier,L,Yes,36,3032,1,4.9,81.84
Clothing,Black,No,Monthly,Female,Dress,Idaho,Card,Summer,Courier,L,Yes,48,3490,1,4.6,12.79
Clothing,Blue,No,Quarterly,Female,Shorts,Virginia,Card,Summer,Courier,L,Yes,36,3119,1,4.7,288.4
Clothing,Cyan,No,Weekly,Female,Hoodie,Nebraska,Card,Summer,Courier,L,Yes,34,3306,1,4.9,25.36
Clothing,Pink,No,Fortnightly,Female,Pants,Delaware,Card,Winter,Courier,L,Yes,21,2982,0,4.9,20.58
Clothing,Pink,No,Weekly,Female,Hoodie,Virginia,Card,Winter,Courier,L,Yes,34,2832,3,5,39.44
Clothing,Black,No,Weekly,Female,Socks,Florida,Card,Winter,Courier,L,Yes,22,3046,3,4.6,21.57
Clothing,Gray,No,Weekly,Female,Blouse,Hawaii,Card,Winter,Courier,L,Yes,28,3108,4,4.6,16.44
Clothing,Charcoal,No,Weekly,Female,Shorts,North Carolina,Card,Winter,Courier,L,Yes,27,3487,5,4.9,127.7
Clothing,Black,No,Fortnightly,Female,Sweater,Arkansas,Card,Fall,Courier,M,Yes,28,3245,0,4.7,106.06
Clothing,Brown,No,Fortnightly,Female,Skirt,Minnesota,Card,Fall,Courier,M,Yes,30,3650,1,4.4,45.05
Clothing,Magenta,No,Fortnightly,Female,T-shirt,Mississippi,Card,Fall,Courier,M,Yes,28,3659,4,4.6,75.69
Clothing,Orange,No,Fortnightly,Female,T-shirt,Ohio,Card,Fall,Courier,M,Yes,49,3456,6,4.7,127.97
Clothing,Red,No,Monthly,Female,Hoodie,South Carolina,Card,Fall,Courier,M,Yes,40,3709,0,4.9,227.57
Clothing,Magenta,No,Monthly,Female,Blouse,Idaho,Card,Fall,Courier,M,Yes,19,2778,2,4.8,11.48
Clothing,Teal,No,Monthly,Female,Shirt,Illinois,Card,Fall,Courier,M,Yes,33,2991,2,4.2,172.37
Clothing,Red,No,Monthly,Female,Hoodie,Texas,Card,Fall,Courier,M,Yes,22,3457,3,4.6,39.3
Clothing,Cyan,No,Weekly,Female,Shirt,Oregon,Card,Fall,Courier,M,Yes,26,2916,0,4.5,15.67
Clothing,Gray,No,Weekly,Female,Shirt,Maryland,Card,Fall,Courier,M,Yes,56,3743,0,4.4,101.56
Clothing,Charcoal,No,Fortnightly,Female,Hoodie,Maryland,Card,Spring,Courier,M,Yes,56,2808,1,4.4,652.27
Clothing,Black,No,Fortnightly,Female,Socks,Maine,Card,Spring,Courier,M,Yes,34,2791,2,4.5,55.22
Clothing,Yellow,No,Fortnightly,Female,Socks,Alaska,Card,Spring,Courier,M,Yes,25,3434,2,4.5,192.94
Clothing,Indigo,No,Fortnightly,Female,Dress,Louisiana,Card,Spring,Courier,M,Yes,39,3555,4,5,42.05
Clothing,Olive,No,Monthly,Female,Sweater,Massachusetts,Card,Spring,Courier,M,Yes,20,3527,0,3.8,417.32
Clothing,Maroon,No,Monthly,Female,T-shirt,Utah,Card,Spring,Courier,M,Yes,24,3015,0,4.5,59.47
Clothing,Black,No,Monthly,Female,Shorts,Rhode Island,Card,Spring,Courier,M,Yes,23,3573,2,5,14.14
Clothing,Black,No,Quarterly,Female,Shirt,Colorado,Card,Spring,Courier,M,Yes,50,3279,1,4.2,284.34
Clothing,Olive,No,Weekly,Female,Shorts,Idaho,Card,Spring,Courier,M,Yes,24,3180,8,4.3,143.96
Clothing,Black,No,Monthly,Female,Skirt,Ohio,Card,Summer,Courier,M,Yes,55,2959,2,4.5,635.39
Clothing,Red,No,Monthly,Female,Shorts,Mississippi,Card,Summer,Courier,M,Yes,30,3536,3,5,36.27
Clothing,Green,No,Monthly,Female,Blouse,Maine,Card,Summer,Courier,M,Yes,43,3564,7,4.9,159.56
Clothing,Red,No,Quarterly,Female,Hoodie,Alaska,Card,Summer,Courier,M,Yes,31,2999,1,4.7,39.39
Clothing,Black,No,Quarterly,Female,Jeans,Oklahoma,Card,Summer,Courier,M,Yes,30,3347,1,3.4,423.82
Clothing,Gray,No,Weekly,Female,Dress,Washington,Card,Summer,Courier,M,Yes,26,2685,0,4.7,29.63
Clothing,Olive,No,Weekly,Female,Dress,Utah,Card,Summer,Courier,M,Yes,26,2824,0,4.5,55.2
Clothing,Orange,No,Weekly,Female,Pants,Georgia,Card,Summer,Courier,M,Yes,36,3814,1,4.1,127.31
Clothing,Violet,No,Weekly,Female,Blouse,South Dakota,Card,Summer,Courier,M,Yes,66,3694,9,4.7,30.62
Clothing,Indigo,No,Fortnightly,Female,Socks,Illinois,Card,Winter,Courier,M,Yes,54,3271,0,4.7,12.11
Clothing,Green,No,Fortnightly,Female,Sweater,California,Card,Winter,Courier,M,Yes,43,3846,0,4.9,37.93
Clothing,Maroon,No,Monthly,Female,Socks,Pennsylvania,Card,Winter,Courier,M,Yes,56,3373,6,4.6,12.1
Clothing,Pink,No,Weekly,Female,Sweater,North Dakota,Card,Winter,Courier,M,Yes,45,3148,3,4.3,437.86
Clothing,Pink,No,Weekly,Female,Socks,Washington,Card,Winter,Courier,M,Yes,33,3809,5,4.7,14.13
Clothing,Black,No,Fortnightly,Female,Shorts,Vermont,Card,Fall,Courier,S,Yes,56,3264,1,4.4,65.8
Clothing,Green,No,Fortnightly,Female,Blouse,Texas,Card,Fall,Courier,S,Yes,19,3113,2,3.8,289.1
Clothing,White,No,Monthly,Female,Blouse,Idaho,Card,Spring,Courier,S,Yes,31,3025,0,4,111.29
Clothing,Pink,No,Monthly,Female,Socks,Nevada,Card,Spring,Courier,S,Yes,33,2989,1,5,42.17
Clothing,Turquoise,No,Fortnightly,Female,Pants,Georgia,Card,Summer,Courier,S,Yes,43,3105,0,5,43.55
Clothing,Violet,No,Fortnightly,Female,Sweater,Virginia,Card,Summer,Courier,S,Yes,33,3588,1,4.4,159.41
Clothing,Blue,No,Fortnightly,Female,T-shirt,Wyoming,Card,Winter,Courier,S,Yes,55,3865,0,4.9,405.22
Clothing,Yellow,No,Fortnightly,Female,Shirt,Virginia,Card,Winter,Courier,S,Yes,21,3147,4,4.9,116.22
Clothing,Pink,No,Fortnightly,Female,T-shirt,Vermont,Card,Winter,Courier,S,Yes,33,2836,6,4.9,121.34
Clothing,Maroon,No,Monthly,Female,Jeans,Iowa,Card,Winter,Courier,S,Yes,22,2927,0,4.1,172.72
Clothing,Purple,No,Weekly,Female,Skirt,Alaska,Card,Winter,Courier,S,Yes,27,3430,1,4.6,254.43
Clothing,Magenta,No,Fortnightly,Female,Socks,Oregon,Card,Fall,Courier,XL,Yes,33,3427,1,4.8,19.71
Clothing,Violet,No,Fortnightly,Female,Socks,Kansas,Card,Fall,Courier,XL,Yes,18,3561,4,3.5,252.27
Clothing,Charcoal,No,Fortnightly,Female,Sweater,Tennessee,Card,Fall,Courier,XL,Yes,64,3442,5,4.1,253.94
Clothing,Magenta,No,Weekly,Female,Socks,Nevada,Card,Spring,Courier,XL,Yes,35,3272,1,4.4,42.11
Clothing,Turquoise,No,Fortnightly,Female,Blouse,North Dakota,Card,Winter,Courier,XL,Yes,25,2880,1,4.9,45.18
Clothing,Teal,No,Fortnightly,Female,Dress,Louisiana,Card,Winter,Courier,XL,Yes,23,3571,1,4.7,283.03
Clothing,Beige,No,Weekly,Female,Blouse,Alabama,Card,Winter,Courier,XL,Yes,36,3303,1,4.2,110.95
Footwear,Yellow,No,Fortnightly,Female,Sneakers,Texas,Card,Fall,Courier,L,Yes,50,3534,1,4.7,331.29
Footwear,Indigo,No,Monthly,Female,Sneakers,Florida,Card,Fall,Courier,L,Yes,39,3585,0,4.8,37.97
Footwear,Yellow,No,Fortnightly,Female,Shoes,Indiana,Card,Spring,Courier,L,Yes,30,3136,0,4.7,126.59
Footwear,Lavender,No,Fortnightly,Female,Boots,New Jersey,Card,Spring,Courier,L,Yes,36,3593,4,4.4,110.67
Footwear,Olive,No,Monthly,Female,Shoes,Georgia,Card,Summer,Courier,L,Yes,35,2822,0,4.5,75.94
Footwear,Olive,No,Monthly,Female,Shoes,Massachusetts,Card,Summer,Courier,L,Yes,23,2682,4,4.8,10.81
Footwear,Gold,No,Weekly,Female,Sneakers,Maryland,Card,Summer,Courier,L,Yes,43,3195,9,4.6,38.07
Footwear,Violet,No,Fortnightly,Female,Boots,Utah,Card,Fall,Courier,M,Yes,25,2700,0,3.6,257.88
Footwear,Maroon,No,Monthly,Female,Sandals,Alaska,Card,Fall,Courier,M,Yes,29,3326,5,3.7,285.01
Footwear,Brown,No,Weekly,Female,Sandals,Maryland,Card,Fall,Courier,M,Yes,33,3885,2,4.9,14.85
Footwear,Violet,No,Weekly,Female,Sandals,Kansas,Card,Fall,Courier,M,Yes,27,3056,4,5,10.2
Footwear,Black,No,Fortnightly,Female,Shoes,Texas,Card,Spring,Courier,M,Yes,27,2743,0,3.9,133.31
Footwear,Blue,No,Weekly,Female,Sandals,Mississippi,Card,Spring,Courier,M,Yes,28,2782,1,4.6,23.46
Footwear,Brown,No,Weekly,Female,Boots,Maine,Card,Spring,Courier,M,Yes,19,2964,2,3.6,290.5
Footwear,Gray,No,Monthly,Female,Boots,Connecticut,Card,Summer,Courier,M,Yes,36,3433,0,4.8,28.38
Footwear,Charcoal,No,Monthly,Female,Sneakers,Ohio,Card,Summer,Courier,M,Yes,50,2739,0,4.3,106.44
Footwear,Gold,No,Monthly,Female,Sneakers,Oregon,Card,Summer,Courier,M,Yes,20,3822,1,4.6,32.8
Footwear,Magenta,No,Weekly,Female,Boots,Michigan,Card,Summer,Courier,M,Yes,28,2746,0,4.1,346.92
Footwear,Brown,No,Weekly,Female,Shoes,Alabama,Card,Summer,Courier,M,Yes,28,2838,0,4.5,144.55
Footwear,Pink,No,Fortnightly,Female,Boots,Tennessee,Card,Winter,Courier,M,Yes,19,3782,0,3.7,409.13
Footwear,Maroon,No,Fortnightly,Female,Shoes,Nevada,Card,Winter,Courier,M,Yes,25,3232,8,4.4,286.35
Footwear,Gold,No,Weekly,Female,Shoes,New Mexico,Card,Winter,Courier,M,Yes,39,3009,4,4.9,132.91
Footwear,Pink,No,Monthly,Female,Sandals,New York,Card,Fall,Courier,S,Yes,27,3673,6,4.5,105.74
Footwear,Orange,No,Monthly,Female,Sneakers,Pennsylvania,Card,Fall,Courier,S,Yes,49,3271,6,4.9,252.99
Footwear,Teal,No,Fortnightly,Female,Sandals,Minnesota,Card,Spring,Courier,S,Yes,19,2722,4,4.9,70.9
Footwear,Orange,No,Weekly,Female,Boots,North Carolina,Card,Spring,Courier,S,Yes,27,2903,4,4.6,17.24
Footwear,Cyan,No,Monthly,Female,Sandals,Maryland,Card,Summer,Courier,S,Yes,60,3130,0,4.7,9.02
Footwear,Magenta,No,Monthly,Female,Boots,New Hampshire,Card,Summer,Courier,S,Yes,22,3055,1,4.9,70.59
Footwear,Maroon,No,Quarterly,Female,Boots,Mississippi,Card,Winter,Courier,S,Yes,29,2856,1,3.8,231.48
Footwear,Purple,No,Fortnightly,Female,Sandals,Minnesota,Card,Fall,Courier,XL,Yes,41,3607,0,4.8,159.27
Footwear,Yellow,No,Fortnightly,Female,Boots,Connecticut,Card,Fall,Courier,XL,Yes,27,3376,7,4.9,333.39
Footwear,Turquoise,No,Monthly,Female,Sandals,Arkansas,Card,Spring,Courier,XL,Yes,36,3177,0,4.6,21.55
Footwear,Violet,No,Monthly,Female,Sneakers,Washington,Card,Spring,Courier,XL,Yes,40,2693,4,4.2,161.35
Footwear,Gray,No,Weekly,Female,Sneakers,North Carolina,Card,Spring,Courier,XL,Yes,43,2936,9,4.6,13.49
Footwear,Peach,No,Fortnightly,Female,Sneakers,New Jersey,Card,Summer,Courier,XL,Yes,23,2899,1,4.6,18.07
Footwear,Cyan,No,Monthly,Female,Sneakers,New York,Card,Summer,Courier,XL,Yes,50,2945,3,3.9,231.11
Footwear,Cyan,No,Weekly,Female,Shoes,Iowa,Card,Summer,Courier,XL,Yes,22,3348,2,4.4,70.46
Footwear,Pink,No,Fortnightly,Female,Sneakers,Mississippi,Card,Winter,Courier,XL,Yes,25,2716,1,4.1,183.89
Footwear,Gray,No,Monthly,Female,Sandals,Alabama,Card,Winter,Courier,XL,Yes,37,2672,0,4.8,57.37
Footwear,Silver,No,Monthly,Female,Sandals,Louisiana,Card,Winter,Courier,XL,Yes,34,3120,3,4.7,98.05
Outerwear,Green,No,Quarterly,Female,Coat,Arizona,Card,Fall,Courier,L,Yes,28,2843,0,4.3,643.65
Outerwear,Brown,No,Quarterly,Female,Jacket,North Dakota,Card,Fall,Courier,L,Yes,37,2713,6,4.6,232.24
Outerwear,Gray,No,Monthly,Female,Jacket,Arizona,Card,Summer,Courier,L,Yes,24,3834,4,4.6,192.02
Outerwear,Charcoal,No,Quarterly,Female,Coat,Montana,Card,Summer,Courier,L,Yes,29,3002,2,4.7,14.9
Outerwear,Pink,No,Fortnightly,Female,Jacket,Illinois,Card,Winter,Courier,L,Yes,45,3287,3,5,63.27
Outerwear,Pink,No,Weekly,Female,Coat,Washington,Card,Winter,Courier,L,Yes,24,3753,0,4.1,105.68
Outerwear,Violet,No,Weekly,Female,Coat,Kentucky,Card,Fall,Courier,M,Yes,36,3576,0,3.7,228.55
Outerwear,Yellow,No,Monthly,Female,Jacket,Wyoming,Card,Spring,Courier,M,Yes,64,3862,0,4.9,44.98
Outerwear,White,No,Monthly,Female,Coat,South Dakota,Card,Spring,Courier,M,Yes,24,2697,8,4.7,9.03
Outerwear,Lavender,No,Weekly,Female,Jacket,New Mexico,Card,Fall,Courier,XL,Yes,24,3205,3,4.3,182.86
Outerwear,Olive,No,Monthly,Female,Jacket,Connecticut,Card,Summer,Courier,XL,Yes,55,3342,0,4.5,35.22
Accessories,Teal,No,Monthly,Female,Gloves,New Jersey,Cash,Fall,Courier,L,Yes,70,2981,8,4.4,194.11
Accessories,Red,No,Quarterly,Female,Jewelry,South Carolina,Cash,Fall,Courier,L,Yes,33,3690,7,4.5,15.63
Accessories,Maroon,No,Weekly,Female,Scarf,Arkansas,Cash,Fall,Courier,L,Yes,33,2952,6,4.6,448.11
Accessories,Maroon,No,Fortnightly,Female,Gloves,Delaware,Cash,Spring,Courier,L,Yes,26,3615,4,4.7,12.09
Accessories,Gray,No,Fortnightly,Female,Handbag,Missouri,Cash,Spring,Courier,L,Yes,25,3293,4,4.9,10.81
Accessories,Yellow,No,Weekly,Female,Backpack,Vermont,Cash,Summer,Courier,L,Yes,26,2821,4,3.9,152.23
Accessories,Yellow,No,Weekly,Female,Belt,New Mexico,Cash,Summer,Courier,L,Yes,24,2691,4,4.7,17.27
Accessories,Purple,No,Weekly,Female,Hat,Vermont,Cash,Winter,Courier,L,Yes,50,3101,2,3.9,126.77
Accessories,Turquoise,No,Fortnightly,Female,Gloves,South Dakota,Cash,Fall,Courier,M,Yes,48,3493,0,4.6,59.35
Accessories,Brown,No,Fortnightly,Female,Handbag,Montana,Cash,Fall,Courier,M,Yes,22,3156,1,4.3,160.3
Accessories,Cyan,No,Fortnightly,Female,Handbag,Wisconsin,Cash,Fall,Courier,M,Yes,20,2922,9,4.6,11.47
Accessories,Yellow,No,Weekly,Female,Sunglasses,Pennsylvania,Cash,Fall,Courier,M,Yes,30,2671,2,4.7,28.49
Accessories,Pink,No,Weekly,Female,Backpack,Nebraska,Cash,Fall,Courier,M,Yes,32,2708,4,4.2,144.67
Accessories,Charcoal,No,Weekly,Female,Hat,Oklahoma,Cash,Spring,Courier,M,Yes,26,3301,0,4,101.85
Accessories,Gold,No,Weekly,Female,Handbag,Kentucky,Cash,Spring,Courier,M,Yes,33,3036,4,4.5,57.25
Accessories,Lavender,No,Fortnightly,Female,Sunglasses,Pennsylvania,Cash,Summer,Courier,M,Yes,19,2741,1,4.9,70.87
Accessories,Cyan,No,Fortnightly,Female,Backpack,Texas,Cash,Winter,Courier,M,Yes,38,2882,5,4.2,160.75
